40;kt;35;kt;30;kt;25;kt;20;kt;15;kt;10;kt;5;kt
131.2850078;88.68085654;83.32190758;111.1797724;18.33539321;176.8569305;;;;;;;;;;
130.0941633;90.91483694;80.39601507;113.5754016;;;;;;;;;;;;
129.0495333;92.71337294;76.95808287;116.5700977;;;;;;;;;;;;
127.4361275;95.00507836;73.81782954;119.3391391;;;;;;;;;;;;
125.5802153;97.14665071;71.21130007;121.8522905;;;;;;;;;;;;
123.511113;99.35642911;68.17556105;124.4991799;;;;;;;;;;;;
121.375578;101.5075606;64.55088575;126.507915;;;;;;;;;;;;
119.0109511;103.7253324;60.38605035;128.0023833;;;;;;;;;;;;
116.2986683;106.161328;55.45960925;128.6990131;;;;;;;;;;;;
113.2902852;108.5539194;51.715391;131.0829024;;;;;;;;;;;;
110.4988033;111.0845188;48.78127341;134.6935249;;;;;;;;;;;;
107.5284747;113.2447975;45.97797837;138.6535128;;;;;;;;;;;;
104.4351735;115.1395424;23.99641479;142.4744045;;;;;;;;;;;;
101.729426;117.5453377;25.87956955;148.1905376;;;;;;;;;;;;
98.75048191;119.5603705;27.50569512;159.5057379;;;;;;;;;;;;
95.71483246;121.5168851;28.62971188;169.298589;;;;;;;;;;;;
92.40653124;123.2316887;29.09221961;180;;;;;;;;;;;;
88.5735009;124.3530753;;;;;;;;;;;;;;
84.15469462;125.2402495;;;;;;;;;;;;;;
79.99447129;126.2038289;;;;;;;;;;;;;;
75.07582322;126.9784641;;;;;;;;;;;;;;
71.83248062;129.0423996;;;;;;;;;;;;;;
69.21930704;131.940141;;;;;;;;;;;;;;
66.58309825;134.8729968;;;;;;;;;;;;;;
63.477386;137.5020091;;;;;;;;;;;;;;
33.911907;139.6232512;;;;;;;;;;;;;;
35.04276201;140.6510035;;;;;;;;;;;;;;
37.78715936;150.4557246;;;;;;;;;;;;;;
39.6961371;158.244332;;;;;;;;;;;;;;
40.71117762;165.1938153;;;;;;;;;;;;;;
41.33682099;171.4115351;;;;;;;;;;;;;;
42.48776751;180;;;;;;;;;;;;;;
